"region","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"Australasia & Oceania","151","69","0.4570","17","0","148","0.9801","26","0"
"Central America & Caribbean","4450","17570","3.9483","300","0","5755","1.2933","130","0"
"Central Asia","338","748","2.2130","50","0","1722","5.0947","800","0"
"East Asia","324","482","1.4877","48","0","1177","3.6327","98","0"
"Eastern Europe","2553","3968","1.5542","344","0","8791","3.4434","727","0"
"Middle East & North Africa","20812","56024","2.6919","670","0","120204","5.7757","1500","0"
"North America","1976","958","0.4848","168","0","3283","1.6614","851","0"
"South America","8390","13266","1.5812","119","0","10600","1.2634","236","0"
"South Asia","19837","48006","2.4200","518","0","86961","4.3838","1272","0"
"Southeast Asia","5624","6834","1.2151","114","0","15865","2.8209","400","0"
"Sub-Saharan Africa","6964","30866","4.4322","1180","0","34307","4.9263","4000","0"
"Western Europe","6647","2482","0.3734","270","0","11105","1.6707","450","0"
