"iyear","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"1970","372","100","0.2688","47","0","157","0.4220","20","0"
"1971","190","13","0.0684","3","0","51","0.2684","27","0"
"1972","161","163","1.0124","81","0","222","1.3789","72","0"
"1973","107","93","0.8692","30","0","183","1.7103","55","0"
"1974","180","208","1.1556","88","0","716","3.9778","102","0"
"1975","225","132","0.5867","27","0","558","2.4800","100","0"
"1976","281","261","0.9288","73","0","569","2.0249","285","0"
"1977","494","93","0.1883","13","0","333","0.6741","42","0"
"1978","589","436","0.7402","98","0","1070","1.8166","160","0"
"1979","986","946","0.9594","54","0","1751","1.7759","78","0"
"1980","846","1939","2.2920","300","0","1751","2.0697","100","0"
"1981","858","3203","3.7331","100","0","1559","1.8170","161","0"
"1982","779","2458","3.1553","80","0","1008","1.2940","100","0"
"1983","865","4639","5.3630","165","0","2151","2.4867","319","0"
"1984","1187","5345","4.5029","250","0","1714","1.4440","70","0"
"1985","1205","3537","2.9353","97","0","2194","1.8207","200","0"
"1986","1101","1761","1.5995","45","0","2701","2.4532","230","0"
"1987","1126","2229","1.9796","388","0","2449","2.1750","300","0"
"1988","1467","2838","1.9346","270","0","2986","2.0354","125","0"
"1989","1913","3677","1.9221","171","0","2497","1.3053","80","0"
"1990","1833","3612","1.9705","112","0","2833","1.5456","150","0"
"1991","2238","4349","1.9433","200","0","3570","1.5952","176","0"
"1992","2660","5734","2.1556","200","0","6067","2.2808","800","0"
"1994","1928","5025","2.6063","1180","0","4662","2.4180","300","0"
"1995","1742","3788","2.1745","168","0","5638","3.2365","650","0"
"1996","1697","3735","2.2009","200","0","7604","4.4808","1272","0"
"1997","1757","6305","3.5885","271","0","6231","3.5464","227","0"
"1998","454","1456","3.2070","224","0","7111","15.6630","4000","0"
"1999","720","1316","1.8278","90","0","4092","5.6833","184","0"
"2000","845","1496","1.7704","50","0","3733","4.4178","94","0"
"2001","811","1817","2.2404","259","0","3907","4.8175","171","0"
"2002","712","1969","2.7654","119","0","5545","7.7879","300","0"
"2003","619","1621","2.6187","59","0","5506","8.8950","224","0"
"2004","546","3515","6.4377","518","0","9164","16.7839","727","0"
"2005","1014","3467","3.4191","160","0","9149","9.0227","542","0"
"2006","1088","3764","3.4596","188","0","8049","7.3980","817","0"
"2007","1258","6011","4.7782","250","0","13309","10.5795","750","0"
"2008","2492","5096","2.0449","160","0","12628","5.0674","1001","0"
"2009","2797","5396","1.9292","120","0","14504","5.1856","552","0"
"2010","2753","4995","1.8144","106","0","11914","4.3276","301","0"
"2011","2485","4656","1.8736","110","0","10733","4.3191","168","0"
"2012","3824","6493","1.6980","57","0","13854","3.6229","400","0"
"2013","5197","10461","2.0129","103","0","21578","4.1520","300","0"
"2014","7131","15690","2.2003","670","0","24440","3.4273","400","0"
"2015","5276","11149","2.1132","224","0","20631","3.9103","400","0"
"2016","3655","8734","2.3896","433","0","16519","4.5196","1500","0"
"2017","2960","8662","2.9264","588","0","12482","4.2169","851","0"
"2018","2642","6890","2.6079","339","0","7845","2.9693","235","0"
